Location,What are the usual causes of stress in your daily online class,What are the usual behavioral effects of stress you've noticed at yourself,What are the usual PSYCHOLOGICAL or EMOTIONAL effects of stress you've noticed at yourself,What are the usual PHYSICAL effects of stress you've noticed at yourself,What are the usual COGNITIVE effects of stress you've noticed at yourself,What are the usual SOCIAL effects of stress you've noticed at yourself,What are your personal methods to relieve stress,How stressed do you feel on a daily basis during the academic year,Found that you could not cope with all the things you had to do,When do you feel mostly stressed,How effective has remote learning been for you,How well could you manage time while learning remotely,Do you enjoy learning remotely
Urban,Environmental Background Noise,Change in sleep patterns,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,No cognitive effect,Difficulty engaging in mutual problem solving,Talking with someone,Less Stressed,Almost Never,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Environmental Background Noise,Difficulty communicating,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Difficulty listening,Social Media,highly stressed,Never,Online class during evening time,Not at all effective,Very Bad,Never
Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,No cognitive effect,Withdrawing or isolating from people,Sports / Exercise,Less Stressed,Almost Never,Assignment submision deadline,Not at all effective,Good,"Yes, but I would like to change a few things"
Urban,Health Issue,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Talking with someone,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"No, there are quite a few challenges"
Urban,Family Issue,Change in sleep patterns,"Feeling overwhelmed, helpless or hopeless","Digestion Problem, Upset stomach, nausea, diarrhea","Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sports / Exercise,highly stressed,Fairly Often,Assignment submision deadline,Slightly effective,Good,"No, there are quite a few challenges"
Rural,Feeling no stress,Change in activity levels,"Sadness, moodiness, grief or depression",No physical effect,Difficulty Concentrating,Difficulty listening,Sleeping,Average Stressed,Fairly Often,Assignment submision deadline,Moderately effective,Average,"No, there are quite a few challenges"
Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,Eye problem due to online class,No cognitive effect,No social effect,Sports / Exercise,highly stressed,Very Often,Online class during evening time,Very effective,Very good,"Yes, absolutely"
Urban,Feeling no stress,Difficulty communicating,"Sadness, moodiness, grief or depression",Tremors or muscle twitching,Difficulty Concentrating,Withdrawing or isolating from people,Social Media,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
Urban,Family Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,No cognitive effect,Difficulty engaging in mutual problem solving,Computer Games,highly stressed,Sometimes,Online class during evening time,Moderately effective,Very good,"Yes, but I would like to change a few things"
Urban,Health Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Difficulty listening,Sports / Exercise,highly stressed,Almost Never,Online class during evening time,Slightly effective,Average,"No, there are quite a few challenges"
